index,date,p1,p2,p3,p4,p5,w1,w2,w3,n1,n2,n3,n4,n5,n6,b,nn1,nn2,nn3,nn4,nn5,nn6,
898,2020.02.15,8,56,3240,137051,2005739,2639313235 ,62840792 ,1086138 ,18,21,28,35,37,42,17,18,3,7,7,2,5,
897,2020.02.08,13,62,2398,121076,1996656,1619922520 ,56610196 ,1463650 ,6,7,12,22,26,36,29,6,1,5,10,4,10,
896,2020.02.01,7,46,2586,128068,2066172,3053222036 ,77436791 ,1377453 ,5,12,25,26,38,45,23,5,7,13,1,12,7,
895,2020.01.25,12,58,2750,134059,2185782,1928079219 ,66485491 ,1402240 ,16,26,31,38,39,41,23,16,10,5,7,1,2,
894,2020.01.18,9,56,2331,116749,1971982,2377935959 ,63694714 ,1530204 ,19,32,37,40,41,43,45,19,13,5,3,1,2,
893,2020.01.11,9,58,2113,116062,1899696,2377433625 ,61485353 ,1687720 ,1,15,17,23,25,41,10,1,14,2,6,2,16,
892,2020.01.04,17,78,2709,134155,2155749,1282017464 ,46569011 ,1340858 ,4,9,17,18,26,42,36,4,5,8,1,8,16,
891,2019.12.28,7,77,2443,122132,1998623,3082673947 ,46707182 ,1472147 ,9,13,28,31,39,41,19,9,4,15,3,8,2,
890,2019.12.21,9,58,2376,114859,1915593,2335486167 ,60400505 ,1474424 ,1,4,14,18,29,37,6,1,3,10,4,11,8,
889,2019.12.14,10,60,2338,114198,1907477,2108986950 ,58582971 ,1503413 ,3,13,29,38,39,42,26,3,10,16,9,1,3,
888,2019.12.07,8,59,2453,123025,1990715,2370359204 ,53567440 ,1288414 ,3,7,12,31,34,38,32,3,4,5,19,3,4,
887,2019.11.30,8,66,2388,114719,1885924,2535268688 ,51217550 ,1415561 ,8,14,17,27,36,45,10,8,6,3,10,9,9,
886,2019.11.23,7,59,2140,109766,1768281,2974643786 ,58820640 ,1621691 ,19,23,28,37,42,45,2,19,4,5,9,5,3,
885,2019.11.16,13,56,2279,111832,1869359,1543832568 ,59731618 ,1467737 ,1,3,24,27,39,45,31,1,2,21,3,12,6,
884,2019.11.09,12,74,2207,108076,1817654,1799077282 ,48623711 ,1630338 ,4,14,23,28,37,45,17,4,10,9,5,9,8,
883,2019.11.02,15,65,2538,119613,1924209,1360519525 ,52327675 ,1340150 ,9,18,32,33,37,44,22,9,9,14,1,4,7,
882,2019.10.26,5,44,2082,109226,1839873,4127270400 ,78168000 ,1651966 ,18,34,39,43,44,45,23,18,16,5,4,1,1,
881,2019.10.19,8,67,2189,116952,1939849,2503212282 ,49815170 ,1524722 ,4,18,20,26,27,32,9,4,14,2,6,1,5,
880,2019.10.12,7,52,2332,114994,1939064,2837810465 ,63668825 ,1419717 ,7,17,19,23,24,45,38,7,10,2,4,1,21,
879,2019.10.05,6,77,2594,123497,1952277,3206361313 ,41641057 ,1236069 ,1,4,10,14,15,35,20,1,3,6,4,1,20,
878,2019.09.28,6,69,2971,129139,1994188,3207993500 ,46492660 ,1079769 ,2,6,11,16,25,31,3,2,4,5,5,9,6,
877,2019.09.21,12,75,2167,109806,1867270,1716607188 ,45776192 ,1584317 ,5,17,18,22,23,43,12,5,12,1,4,1,20,
876,2019.09.14,19,59,2427,112619,1856647,1090657856 ,58538134 ,1423054 ,5,16,21,26,34,42,24,5,11,5,5,8,8,
875,2019.09.07,14,33,2278,105071,1726617,1415946724 ,100117446 ,1450341 ,19,22,30,34,39,44,36,19,3,8,4,5,5,
874,2019.08.31,18,68,2240,110655,1830269,1117123917 ,49284879 ,1496149 ,1,15,19,23,28,42,32,1,14,4,4,5,14,
873,2019.08.24,10,68,2375,123684,2001910,1874553225 ,45944932 ,1315476 ,3,5,12,13,33,39,38,3,2,7,1,20,6,
872,2019.08.17,16,46,2018,99681,1715898,1262705579 ,73200324 ,1668591 ,2,4,30,32,33,43,29,2,2,26,2,1,10,
871,2019.08.10,7,61,2231,108666,1792357,2718071358 ,51984972 ,1421374 ,2,6,12,26,30,34,38,2,4,6,14,4,4,
870,2019.08.03,10,48,2033,102000,1705285,1928842988 ,66973715 ,1581279 ,21,25,30,32,40,42,31,21,4,5,2,8,2,
869,2019.07.27,10,56,2210,108562,1814332,1922582588 ,57219720 ,1449912 ,2,6,20,27,37,39,4,2,4,14,7,10,2,
868,2019.07.20,6,61,2152,109133,1789491,3233804250 ,53013185 ,1502698 ,12,17,28,41,43,44,25,12,5,11,13,2,1,
867,2019.07.13,5,57,2175,109516,1820552,3933755250 ,57511042 ,1507186 ,14,17,19,22,24,40,41,14,3,2,3,2,16,
866,2019.07.06,9,68,2035,104919,1770017,2240409000 ,49420787 ,1651408 ,9,15,29,34,37,39,12,9,6,14,5,3,2,
865,2019.06.29,13,52,2076,104626,1749234,1551729145 ,64655382 ,1619499 ,3,15,22,32,33,45,2,3,12,7,10,1,12,
864,2019.06.22,11,64,2467,122913,1957675,1716553637 ,49172110 ,1275645 ,3,7,10,13,25,36,32,3,4,3,3,12,11,
863,2019.06.15,7,64,2042,104949,1753097,2853357322 ,52014327 ,1630224 ,16,21,28,35,39,43,12,16,5,7,7,4,4,
862,2019.06.08,9,63,2042,104765,1755036,2190922709 ,52164827 ,1609395 ,10,34,38,40,42,43,32,10,24,4,2,2,1,
861,2019.06.01,4,65,2256,108644,1819899,4872108844 ,49970348 ,1439749 ,11,17,19,21,22,25,24,11,6,2,2,1,3,
860,2019.05.25,10,62,2339,128867,1882931,1879899825 ,50534942 ,1339533 ,4,8,18,25,27,32,42,4,4,10,7,2,5,
859,2019.05.18,11,51,1895,97729,1678945,1853927489 ,66644453 ,1793598 ,8,22,35,38,39,41,24,8,14,13,3,1,2,
858,2019.05.11,9,41,2075,106176,1789295,2202347459 ,80573688 ,1592059 ,9,13,32,38,39,43,23,9,4,19,6,1,4,
857,2019.05.04,15,62,2367,111971,1833940,1284915425 ,51811106 ,1357114 ,6,10,16,28,34,38,43,6,4,6,12,6,4,
856,2019.04.27,5,53,1949,104537,1700369,3977927550 ,62546031 ,1700842 ,10,24,40,41,43,44,17,10,14,16,1,2,1,
855,2019.04.20,9,61,2022,102532,1765328,2269510500 ,55807636 ,1683614 ,8,15,17,19,43,44,7,8,7,2,2,24,1,
854,2019.04.13,6,44,1865,99152,1716083,3421706750 ,77766063 ,1834696 ,20,25,31,32,36,43,3,20,5,6,1,4,7,
853,2019.04.06,7,90,2018,105158,1787511,2885006786 ,37398237 ,1667910 ,2,8,23,26,27,44,13,2,6,15,3,1,17,
852,2019.03.30,4,67,2328,114850,1876933,4801543407 ,47776552 ,1375013 ,11,17,28,30,33,35,9,11,6,11,2,3,2,
851,2019.03.23,8,70,2101,106132,1750048,2483692313 ,47308425 ,1576197 ,14,18,22,26,31,44,40,14,4,4,4,5,13,
850,2019.03.16,6,55,2023,101591,1727367,3377587875 ,61410689 ,1669594 ,16,20,24,28,36,39,5,16,4,4,4,8,3,
849,2019.03.09,17,56,2682,113125,1851371,1158252883 ,58602081 ,1223608 ,5,13,17,29,34,39,3,5,8,4,12,5,5,
848,2019.03.02,7,42,2109,103845,1792259,3011580858 ,83655024 ,1665961 ,1,2,16,22,38,39,34,1,1,14,6,16,1,
847,2019.02.23,8,40,2443,114324,1857205,2520846657 ,84028222 ,1375821 ,12,16,26,28,30,42,22,12,4,10,2,2,12,
846,2019.02.16,13,69,1997,106009,1797728,1596884395 ,50143713 ,1732557 ,5,18,30,41,43,45,13,5,13,12,11,2,2,
845,2019.02.09,11,56,2038,105790,1782933,1891217182 ,61914849 ,1701292 ,1,16,29,33,40,45,6,1,15,13,4,7,5,
844,2019.02.02,18,73,2406,120078,1997556,1162963542 ,47793023 ,1450080 ,7,8,13,15,33,45,18,7,1,5,2,18,12,
843,2019.01.26,5,52,2002,105717,1777953,4012970100 ,64310419 ,1670401 ,19,21,30,33,34,42,4,19,2,9,3,1,8,
842,2019.01.19,10,42,2039,103190,1735911,2035475025 ,80772819 ,1663786 ,14,26,32,36,39,42,38,14,12,6,4,3,3,
841,2019.01.12,17,88,2490,119648,1901965,1116095714 ,35934900 ,1269989 ,5,11,14,30,33,38,24,5,6,3,16,3,5,
840,2019.01.05,10,51,2275,110586,1852019,2042961788 ,66763458 ,1496676 ,2,4,11,28,29,43,27,2,2,7,17,1,14,
839,2018.12.29,13,48,2664,126227,1946924,1359454904 ,61364284 ,1105663 ,3,9,11,12,13,19,35,3,6,2,1,1,6,
838,2018.12.22,5,68,2220,107897,1777501,3813733050 ,46736925 ,1431582 ,9,14,17,33,36,38,20,9,5,3,16,3,2,
837,2018.12.15,6,47,2012,97334,1656959,3144449125 ,66903173 ,1562848 ,2,25,28,30,33,45,6,2,23,3,2,3,12,
836,2018.12.08,14,62,2230,103846,1719260,1257843670 ,47338203 ,1316130 ,1,9,11,14,26,28,19,1,8,2,3,12,2,
835,2018.12.01,15,58,2306,106763,1767089,1233681125 ,53175911 ,1337469 ,9,10,13,28,38,45,35,9,1,3,15,10,7,
834,2018.11.24,11,47,1967,99132,1643491,1690693671 ,65949044 ,1575804 ,6,8,18,35,42,43,3,6,2,10,17,7,1,
833,2018.11.17,8,53,1945,103152,1715510,2356317282 ,59278423 ,1615299 ,12,18,30,39,41,42,19,12,6,12,9,2,1,
832,2018.11.10,9,60,2137,102312,1706379,2088204584 ,52205115 ,1465750 ,13,14,19,26,40,43,30,13,1,5,7,14,3,
831,2018.11.03,16,61,2660,117332,1849959,1110702258 ,48555290 ,1113486 ,3,10,16,19,31,39,9,3,7,6,3,12,8,
830,2018.10.27,9,80,2142,106206,1764071,2060528750 ,38634915 ,1442948 ,5,6,16,18,37,38,17,5,1,10,2,19,1,
829,2018.10.20,8,45,1837,94679,1637836,2444650641 ,72434094 ,1774379 ,4,5,31,35,43,45,29,4,1,26,4,8,2,
828,2018.10.13,13,62,1968,100644,1704198,1455185972 ,50853274 ,1602085 ,4,7,13,29,31,39,18,4,3,6,16,2,8,
827,2018.10.06,15,46,2113,106164,1761371,1206500375 ,65570673 ,1427474 ,5,11,12,29,33,44,14,5,6,1,17,4,11,
826,2018.09.29,9,47,2232,108626,1755153,2075192084 ,66229535 ,1394619 ,13,16,24,25,33,36,42,13,3,8,1,8,3,
825,2018.09.22,12,53,2249,113070,1850484,1658710563 ,62592852 ,1475065 ,8,15,21,31,33,38,42,8,7,6,10,2,5,
824,2018.09.15,15,51,2106,105359,1745566,1256646550 ,61600322 ,1491746 ,7,9,24,29,34,38,26,7,2,15,5,5,4,
823,2018.09.08,9,61,2348,112065,1795737,2009843917 ,49422392 ,1283972 ,12,18,24,26,39,40,15,12,6,6,2,13,1,
822,2018.09.01,3,79,2153,108789,1735565,5930898625 ,37537334 ,1377357 ,9,18,20,24,27,36,12,9,9,2,4,3,9,
821,2018.08.25,14,55,2100,101082,1687355,1316155956 ,55836920 ,1462396 ,1,12,13,24,29,44,16,1,11,1,11,5,15,
820,2018.08.18,4,60,1987,99433,1644326,4627313532 ,51414595 ,1552530 ,10,21,22,30,35,42,6,10,11,1,8,5,7,
819,2018.08.11,7,49,1981,97667,1638089,2594534840 ,61774640 ,1527995 ,16,25,33,38,40,45,15,16,9,8,5,2,5,
818,2018.08.04,13,39,1845,90205,1490497,1380804318 ,76711351 ,1621541 ,14,15,25,28,29,30,3,14,1,10,3,1,1,
817,2018.07.28,9,54,2068,105276,1718171,1868477334 ,51902149 ,1355279 ,3,9,12,13,25,43,34,3,6,3,1,12,18,
